year,month,day,heigh,rainy,date,week,heigh_9403,rainy_9403,heigh_9404,rainy_9404,heigh_9405,rainy_9405,heigh_9406,rainy_9406,heigh_9408,rainy_9408,heigh_9410,rainy_9410,heigh_9413,rainy_9413,heigh_9416,rainy_9416,heigh_9417,rainy_9417,heigh_9419,rainy_9419,heigh_9420,rainy_9420,heigh_9422,rainy_9422,heigh_9518,rainy_9518
2008,4,2,694.0,^I],2008-04-02,14.0,79.0,_I,131.0,_I,212.0,_I,141.0,_I,227.0,_I,294.0,I,250.0,_I,92.0,_I,66.0,_I,298.0,I,178.0,"""I",284.0,^I,160.0,"""I"
2008,5,2,687.0,I],2008-05-02,18.0,101.0,Z,142.0,(,226.0,_(I,150.0,I,246.0,I,298.0,I,259.0,I,136.0,(,82.0,I,299.0,I,180.0,I,275.0,_Z,160.0,_(I
2008,6,2,2368.0,N,2008-06-02,23.0,81.0,unknown,144.0,unknown,357.0,^,415.0,unknown,846.0,unknown,1575.0,unknown,1490.0,unknown,147.0,unknown,129.0,unknown,919.0,unknown,247.0,unknown,719.0,^,229.0,unknown
2008,7,2,1216.0,unknown,2008-07-02,27.0,68.0,^Т,101.0,^,211.0,unknown,232.0,unknown,441.0,unknown,828.0,unknown,1319.0,^,122.0,unknown,99.0,^,610.0,unknown,235.0,_,286.0,unknown,110.0,_
2008,8,2,999.0,_,2008-08-02,31.0,66.0,_А,98.0,unknown,193.0,unknown,222.0,unknown,504.0,unknown,754.0,unknown,615.0,unknown,97.0,unknown,59.0,unknown,516.0,unknown,259.0,unknown,259.0,unknown,109.0,unknown
2008,9,2,1054.0,unknown,2008-09-02,36.0,68.0,_А,100.0,_,223.0,unknown,240.0,unknown,365.0,unknown,710.0,unknown,570.0,unknown,137.0,unknown,85.0,unknown,455.0,^,261.0,^,249.0,unknown,123.0,unknown
2008,10,2,823.0,unknown,2008-10-02,40.0,70.0,_А,105.0,^,214.0,unknown,237.0,unknown,324.0,unknown,550.0,unknown,456.0,unknown,101.0,unknown,70.0,unknown,376.0,unknown,235.0,^,251.0,unknown,119.0,unknown
2008,11,2,1151.0,^I,2008-11-02,44.0,74.0,^I,97.0,^*),217.0,Z,310.0,^I,334.0,Ш),364.0,Ш),262.0,Z,91.0,Z,72.0,^Z,360.0,*),238.0,I,246.0,Ш,130.0,Z
2008,12,2,879.0,]I,2008-12-02,49.0,72.0,_I,93.0,_I,195.0,I,214.0,I,268.0,I,431.0,I,240.0,^I,100.0,I,68.0,I,433.0,^I,227.0,I,361.0,^Z,122.0,_I
2008,1,3,955.0,]I,2008-01-03,1.0,76.0,_I,102.0,_I,189.0,I,117.0,_I,293.0,I,320.0,I,258.0,^I,99.0,^I,46.0,_I,312.0,I,177.0,_I,339.0,I,125.0,_I
2008,2,3,790.0,I],2008-02-03,5.0,77.0,I,108.0,_I,193.0,^I,118.0,_I,263.0,I,309.0,I,250.0,I,88.0,_I,56.0,_I,295.0,I,177.0,"""I",306.0,I,134.0,_I
2008,3,3,708.0,I],2008-03-03,10.0,78.0,_I,125.0,I,192.0,_I,122.0,I,237.0,I,301.0,I,249.0,_I,91.0,_I,62.0,_I,295.0,_I,177.0,_I,293.0,^I,142.0,_I
2008,4,3,693.0,I],2008-04-03,14.0,79.0,_I,131.0,I,212.0,_I,141.0,I,228.0,I,294.0,I,250.0,_I,92.0,I,66.0,_I,298.0,I,178.0,"""I",284.0,^I,160.0,"""I"
2008,5,3,689.0,I],2008-05-03,18.0,149.0,(Z,150.0,(,226.0,_(I,150.0,I,252.0,I,298.0,I,264.0,I,171.0,(,88.0,I,298.0,I,180.0,I,277.0,Z,160.0,_(I
2008,6,3,2534.0,N,2008-06-03,23.0,81.0,unknown,141.0,unknown,349.0,unknown,376.0,unknown,829.0,unknown,1649.0,unknown,1666.0,unknown,137.0,unknown,116.0,unknown,971.0,^,251.0,unknown,715.0,^,225.0,unknown
2008,7,3,1341.0,unknown,2008-07-03,27.0,68.0,^Т,101.0,^,209.0,unknown,233.0,^,396.0,unknown,935.0,unknown,1317.0,unknown,110.0,unknown,96.0,unknown,599.0,^,235.0,_,282.0,unknown,110.0,_
2008,8,3,994.0,unknown,2008-08-03,31.0,66.0,_А,98.0,unknown,193.0,unknown,225.0,unknown,523.0,unknown,869.0,unknown,612.0,unknown,93.0,unknown,61.0,unknown,633.0,unknown,259.0,unknown,263.0,unknown,109.0,unknown
2008,9,3,1022.0,unknown,2008-09-03,36.0,68.0,_А,101.0,_,221.0,unknown,241.0,unknown,363.0,unknown,719.0,^,470.0,unknown,134.0,unknown,87.0,^,439.0,unknown,259.0,unknown,248.0,unknown,122.0,unknown
2008,10,3,834.0,unknown,2008-10-03,40.0,70.0,_А,105.0,^,208.0,unknown,229.0,unknown,322.0,unknown,547.0,unknown,445.0,unknown,100.0,unknown,70.0,unknown,374.0,unknown,233.0,unknown,250.0,unknown,114.0,unknown
2008,11,3,1150.0,^I,2008-11-03,45.0,74.0,^I,97.0,^*),213.0,Z,289.0,I,340.0,Z,334.0,Ш),260.0,Z,91.0,Z,72.0,^Z,401.0,*),238.0,I,249.0,Ш,145.0,^Z
2008,12,3,878.0,]I,2008-12-03,49.0,72.0,_I,93.0,_I,195.0,I,210.0,I,267.0,I,429.0,I,240.0,^I,100.0,I,68.0,I,432.0,I,230.0,I,361.0,^Z,122.0,_I
2008,1,4,950.0,]I,2008-01-04,1.0,76.0,_I,102.0,_I,189.0,I,117.0,_I,292.0,I,320.0,I,258.0,^I,99.0,^I,46.0,_I,309.0,I,178.0,I,337.0,I,125.0,_I
2008,2,4,787.0,I],2008-02-04,6.0,77.0,I,108.0,_I,192.0,I,118.0,_I,262.0,I,309.0,I,250.0,I,88.0,_I,57.0,I,295.0,I,177.0,"""I",304.0,I,134.0,_I
2008,3,4,706.0,I],2008-03-04,10.0,78.0,_I,125.0,I,192.0,_I,123.0,I,240.0,I,300.0,I,249.0,_I,91.0,_I,62.0,_I,295.0,_I,177.0,_I,293.0,^I,144.0,I
2008,4,4,693.0,I],2008-04-04,14.0,79.0,_I,132.0,I,212.0,_I,141.0,I,230.0,I,294.0,I,250.0,_I,92.0,I,66.0,_I,298.0,I,178.0,"""I",284.0,^I,160.0,"""I"
2008,5,4,691.0,I],2008-05-04,18.0,169.0,(,165.0,(,227.0,_(I,152.0,I,256.0,I,298.0,I,269.0,I,202.0,РП,102.0,(I,296.0,_I,182.0,I,278.0,Z,172.0,(I
2008,6,4,2640.0,N,2008-06-04,23.0,79.0,unknown,139.0,unknown,334.0,unknown,347.0,unknown,816.0,unknown,1667.0,^,1695.0,^,130.0,unknown,111.0,unknown,869.0,unknown,251.0,unknown,634.0,unknown,221.0,unknown
2008,7,4,1434.0,unknown,2008-07-04,27.0,68.0,^Т,101.0,^,212.0,unknown,226.0,unknown,378.0,unknown,949.0,^,1311.0,unknown,99.0,unknown,91.0,unknown,534.0,unknown,246.0,unknown,278.0,unknown,112.0,_
2008,8,4,1000.0,unknown,2008-08-04,32.0,66.0,_А,98.0,unknown,193.0,unknown,225.0,unknown,532.0,unknown,1129.0,unknown,751.0,unknown,91.0,unknown,62.0,unknown,667.0,^,261.0,unknown,270.0,unknown,108.0,unknown
2008,9,4,1005.0,unknown,2008-09-04,36.0,68.0,_А,101.0,unknown,219.0,unknown,243.0,unknown,359.0,unknown,715.0,unknown,400.0,unknown,128.0,unknown,87.0,^,429.0,unknown,258.0,unknown,247.0,unknown,121.0,unknown
2008,10,4,836.0,unknown,2008-10-04,40.0,70.0,_А,103.0,unknown,203.0,unknown,226.0,unknown,320.0,unknown,544.0,unknown,437.0,unknown,99.0,unknown,69.0,unknown,371.0,unknown,233.0,unknown,252.0,unknown,112.0,unknown
2008,11,4,1137.0,I,2008-11-04,45.0,74.0,^I,97.0,^*),212.0,Z,297.0,I,343.0,Z,313.0,_Ш),260.0,Z,97.0,Z,71.0,Z,403.0,Z,242.0,^I,251.0,Ш,139.0,I
2008,12,4,877.0,]I,2008-12-04,49.0,72.0,_I,93.0,_I,194.0,I,200.0,I,267.0,I,424.0,I,240.0,^I,100.0,I,68.0,I,432.0,I,233.0,I,361.0,^Z,122.0,_I
2008,1,5,944.0,]I,2008-01-05,1.0,76.0,_I,102.0,_I,189.0,I,117.0,_I,292.0,I,319.0,I,258.0,^I,99.0,^I,46.0,_I,309.0,I,177.0,_I,335.0,I,126.0,I
2008,2,5,785.0,I],2008-02-05,6.0,76.0,_I,108.0,_I,192.0,I,118.0,_I,262.0,I,309.0,I,250.0,I,88.0,_I,57.0,I,295.0,I,177.0,"""I",302.0,I,134.0,_I
2008,3,5,705.0,I],2008-03-05,10.0,78.0,_I,126.0,I,192.0,_I,125.0,I,239.0,I,300.0,I,249.0,_I,91.0,_I,62.0,_I,296.0,I,177.0,_I,293.0,^I,144.0,I
2008,4,5,692.0,I],2008-04-05,14.0,79.0,_I,132.0,I,213.0,_I,141.0,I,230.0,I,294.0,I,250.0,_I,92.0,I,66.0,_I,298.0,I,178.0,"""I",282.0,I,160.0,"""I"
2008,5,5,694.0,I],2008-05-05,19.0,182.0,П(,204.0,(,236.0,(,157.0,I,258.0,I,297.0,_I,276.0,I,238.0,РП,145.0,(,296.0,_I,183.0,I,283.0,Z,198.0,(I
2008,6,5,2751.0,unknown,2008-06-05,23.0,74.0,unknown,131.0,unknown,321.0,unknown,323.0,unknown,776.0,unknown,1534.0,unknown,1670.0,unknown,127.0,unknown,107.0,unknown,880.0,unknown,252.0,^,589.0,unknown,214.0,unknown
2008,7,5,1485.0,^,2008-07-05,27.0,68.0,^Т,99.0,unknown,219.0,^,223.0,unknown,376.0,_,850.0,unknown,1296.0,unknown,95.0,unknown,87.0,unknown,516.0,unknown,246.0,unknown,275.0,unknown,117.0,unknown
2008,8,5,1064.0,unknown,2008-08-05,32.0,66.0,_А,98.0,unknown,193.0,unknown,225.0,unknown,545.0,unknown,1202.0,^,1100.0,unknown,89.0,unknown,62.0,unknown,615.0,unknown,261.0,unknown,279.0,unknown,108.0,unknown
2008,9,5,995.0,unknown,2008-09-05,36.0,68.0,_А,103.0,unknown,218.0,unknown,243.0,unknown,358.0,unknown,706.0,unknown,398.0,unknown,125.0,unknown,86.0,unknown,423.0,unknown,254.0,unknown,245.0,unknown,120.0,unknown
2008,10,5,827.0,unknown,2008-10-05,40.0,70.0,_А,103.0,unknown,201.0,unknown,216.0,unknown,318.0,_,541.0,unknown,420.0,unknown,98.0,unknown,69.0,unknown,370.0,unknown,233.0,unknown,256.0,unknown,112.0,unknown
2008,11,5,1113.0,I,2008-11-05,45.0,74.0,^I,97.0,^*),211.0,Z,293.0,I,340.0,Z,337.0,I,258.0,Z,96.0,Z,70.0,Z,406.0,Z,242.0,^I,251.0,Ш,131.0,I
2008,12,5,876.0,]I,2008-12-05,49.0,72.0,_I,93.0,_I,193.0,I,192.0,I,266.0,I,420.0,I,238.0,I,100.0,I,67.0,_I,432.0,I,236.0,^I,361.0,^Z,122.0,_I
2008,1,6,940.0,]I,2008-01-06,1.0,78.0,^I,102.0,_I,189.0,I,117.0,_I,291.0,I,319.0,I,257.0,I,99.0,^I,46.0,_I,309.0,I,177.0,_I,335.0,I,126.0,I
2008,2,6,782.0,I],2008-02-06,6.0,76.0,_I,108.0,_I,192.0,I,118.0,_I,261.0,I,308.0,I,250.0,I,88.0,_I,57.0,I,296.0,^I,177.0,"""I",300.0,I,134.0,_I
2008,3,6,704.0,I],2008-03-06,10.0,78.0,_I,126.0,I,192.0,_I,126.0,I,238.0,I,300.0,I,249.0,_I,92.0,I,62.0,_I,297.0,I,177.0,_I,293.0,^I,146.0,I
2008,4,6,692.0,I],2008-04-06,14.0,79.0,_I,132.0,I,214.0,I,141.0,I,230.0,I,294.0,I,250.0,_I,92.0,I,66.0,_I,298.0,I,178.0,"""I",281.0,I,160.0,"""I"
2008,5,6,697.0,I],2008-05-06,19.0,217.0,РП,259.0,РП,268.0,(,161.0,I,262.0,I,299.0,I,281.0,I,285.0,РП,194.0,РП,296.0,_I,184.0,I,276.0,Z,225.0,(I
2008,6,6,2780.0,^,2008-06-06,23.0,74.0,unknown,126.0,unknown,309.0,unknown,297.0,unknown,757.0,unknown,1425.0,unknown,1638.0,unknown,122.0,unknown,100.0,unknown,800.0,unknown,253.0,^,512.0,unknown,204.0,unknown
2008,7,6,1453.0,^,2008-07-06,27.0,68.0,^Т,99.0,unknown,218.0,unknown,215.0,unknown,396.0,unknown,797.0,unknown,1270.0,unknown,93.0,unknown,80.0,unknown,500.0,unknown,245.0,unknown,272.0,unknown,119.0,unknown
2008,8,6,1256.0,unknown,2008-08-06,32.0,67.0,_А,98.0,unknown,193.0,unknown,224.0,unknown,561.0,unknown,1122.0,unknown,1328.0,^,88.0,unknown,60.0,unknown,565.0,unknown,262.0,unknown,282.0,unknown,107.0,unknown
2008,9,6,993.0,unknown,2008-09-06,36.0,68.0,_А,105.0,unknown,216.0,unknown,244.0,unknown,357.0,unknown,689.0,unknown,395.0,unknown,123.0,unknown,85.0,unknown,410.0,unknown,250.0,unknown,244.0,unknown,119.0,unknown
2008,10,6,816.0,unknown,2008-10-06,41.0,70.0,_А,103.0,unknown,201.0,unknown,209.0,unknown,320.0,_,539.0,unknown,400.0,unknown,103.0,unknown,68.0,unknown,367.0,unknown,232.0,unknown,259.0,^,112.0,unknown
2008,11,6,1080.0,I,2008-11-06,45.0,74.0,^I,97.0,^*),211.0,Z,286.0,I,341.0,Z,328.0,I,258.0,Z,96.0,I,70.0,Z,419.0,Z,242.0,^I,251.0,Ш,128.0,I
2008,12,6,875.0,]I,2008-12-06,49.0,72.0,_I,93.0,_I,193.0,I,189.0,I,265.0,I,415.0,I,238.0,I,100.0,I,67.0,_I,432.0,I,236.0,^I,361.0,^Z,122.0,_I
2008,1,7,935.0,]I,2008-01-07,2.0,78.0,^I,102.0,_I,189.0,I,117.0,_I,290.0,I,319.0,I,256.0,I,99.0,^I,47.0,I,309.0,I,178.0,_I,335.0,I,126.0,I
2008,2,7,778.0,I],2008-02-07,6.0,76.0,_I,108.0,_I,192.0,I,118.0,_I,260.0,I,308.0,I,250.0,I,89.0,I,57.0,I,296.0,^I,177.0,"""I",300.0,I,134.0,_I
2008,3,7,704.0,I],2008-03-07,10.0,78.0,_I,126.0,I,192.0,_I,127.0,I,240.0,I,299.0,I,249.0,_I,92.0,I,63.0,I,297.0,I,177.0,_I,293.0,^I,146.0,I
2008,4,7,691.0,I],2008-04-07,15.0,79.0,_I,133.0,I,214.0,I,142.0,I,230.0,I,294.0,I,250.0,_I,92.0,I,66.0,_I,298.0,I,178.0,"""I",281.0,I,160.0,"""I"
2008,5,7,700.0,I],2008-05-07,19.0,292.0,РП,329.0,РП,306.0,П(,164.0,I,266.0,I,300.0,I,287.0,I,345.0,РП,255.0,РП,297.0,I,185.0,I,276.0,Z,292.0,РП
2008,6,7,2653.0,unknown,2008-06-07,23.0,73.0,unknown,126.0,unknown,298.0,unknown,278.0,unknown,738.0,unknown,1301.0,unknown,1544.0,unknown,119.0,unknown,95.0,unknown,695.0,unknown,253.0,^,457.0,unknown,190.0,unknown
2008,7,7,1363.0,unknown,2008-07-07,28.0,68.0,^Т,99.0,unknown,216.0,unknown,208.0,unknown,397.0,unknown,759.0,unknown,1232.0,unknown,89.0,unknown,77.0,unknown,484.0,unknown,244.0,unknown,274.0,unknown,124.0,unknown
2008,8,7,1521.0,unknown,2008-08-07,32.0,68.0,А,98.0,unknown,192.0,unknown,217.0,unknown,557.0,^,1027.0,unknown,1325.0,unknown,87.0,unknown,58.0,unknown,541.0,unknown,262.0,unknown,284.0,unknown,107.0,unknown
2008,9,7,997.0,unknown,2008-09-07,36.0,68.0,_А,106.0,unknown,214.0,unknown,239.0,unknown,354.0,unknown,665.0,unknown,395.0,unknown,118.0,unknown,83.0,unknown,400.0,unknown,248.0,unknown,243.0,unknown,119.0,unknown
2008,10,7,808.0,unknown,2008-10-07,41.0,70.0,_А,102.0,unknown,203.0,unknown,205.0,unknown,328.0,unknown,536.0,unknown,399.0,unknown,107.0,unknown,68.0,unknown,365.0,unknown,232.0,unknown,259.0,^,112.0,unknown
2008,11,7,1039.0,I,2008-11-07,45.0,72.0,_I,97.0,^Ш*,211.0,Z,280.0,I,340.0,Z,322.0,I,255.0,I,95.0,I,70.0,I,440.0,Z,241.0,^I,256.0,*,128.0,I
2008,12,7,874.0,]I,2008-12-07,49.0,72.0,_I,94.0,_I,192.0,I,186.0,I,264.0,I,413.0,I,237.0,I,100.0,I,67.0,_I,429.0,I,236.0,^I,360.0,Z,122.0,_I
2008,1,8,930.0,]I,2008-01-08,2.0,78.0,^I,102.0,_I,189.0,I,117.0,_I,289.0,I,319.0,I,256.0,I,98.0,I,47.0,I,308.0,I,179.0,^I,335.0,I,127.0,I
2008,2,8,775.0,I],2008-02-08,6.0,77.0,_I,109.0,_I,192.0,I,119.0,I,259.0,I,308.0,I,250.0,I,89.0,I,57.0,I,295.0,I,177.0,""")I",300.0,I,134.0,_I
2008,3,8,703.0,I],2008-03-08,10.0,78.0,_I,127.0,I,192.0,_I,129.0,I,239.0,I,299.0,I,249.0,_I,94.0,I,63.0,I,297.0,I,177.0,_I,293.0,^I,147.0,I
2008,4,8,691.0,I],2008-04-08,15.0,79.0,_I,133.0,I,214.0,I,142.0,I,232.0,I,294.0,I,250.0,_I,92.0,_I,66.0,_I,297.0,I,178.0,"""I",281.0,I,160.0,"""I"
2008,5,8,703.0,I],2008-05-08,19.0,423.0,<Л,447.0,ЛР,365.0,П,175.0,I,272.0,I,308.0,I,291.0,(I,417.0,ХР,412.0,^<Л,298.0,I,189.0,WI,279.0,Z,405.0,<
2008,6,8,2437.0,unknown,2008-06-08,23.0,70.0,unknown,126.0,unknown,290.0,unknown,259.0,unknown,725.0,unknown,1119.0,unknown,1471.0,unknown,119.0,unknown,92.0,unknown,679.0,unknown,253.0,^,445.0,unknown,183.0,unknown
2008,7,8,1275.0,unknown,2008-07-08,28.0,67.0,Т,97.0,unknown,212.0,unknown,208.0,unknown,398.0,unknown,704.0,unknown,1164.0,unknown,85.0,_,74.0,unknown,471.0,unknown,244.0,unknown,280.0,unknown,127.0,unknown
2008,8,8,1604.0,^,2008-08-08,32.0,68.0,А,98.0,unknown,197.0,unknown,215.0,unknown,531.0,unknown,943.0,unknown,1280.0,unknown,87.0,unknown,56.0,unknown,554.0,unknown,261.0,unknown,284.0,unknown,108.0,unknown
2008,9,8,982.0,unknown,2008-09-08,37.0,68.0,_А,108.0,unknown,210.0,unknown,228.0,unknown,350.0,unknown,651.0,unknown,394.0,unknown,109.0,unknown,81.0,unknown,396.0,unknown,248.0,unknown,242.0,unknown,116.0,unknown
2008,10,8,807.0,unknown,2008-10-08,41.0,70.0,_А,101.0,unknown,204.0,unknown,203.0,_,331.0,unknown,532.0,unknown,396.0,unknown,110.0,unknown,68.0,unknown,361.0,unknown,232.0,unknown,256.0,*,112.0,unknown
2008,11,8,990.0,]I,2008-11-08,45.0,72.0,_I,97.0,^Z,211.0,Z,278.0,I,344.0,^Z,336.0,I,249.0,I,95.0,I,70.0,I,438.0,Z,240.0,I,264.0,Ш,128.0,I
2008,12,8,873.0,]I,2008-12-08,50.0,72.0,_I,94.0,I,192.0,I,180.0,I,263.0,I,411.0,I,237.0,I,100.0,I,67.0,_I,427.0,I,236.0,^I,358.0,Z,122.0,_I
2008,1,9,927.0,]I,2008-01-09,2.0,78.0,^I,102.0,_I,191.0,I,117.0,_I,288.0,I,318.0,I,256.0,I,97.0,I,47.0,I,306.0,I,179.0,^I,335.0,I,127.0,I
2008,2,9,773.0,I],2008-02-09,6.0,78.0,I,109.0,I,192.0,_I,119.0,I,258.0,I,307.0,I,250.0,I,90.0,I,58.0,I,295.0,I,177.0,"""I",300.0,I,134.0,_I
2008,3,9,702.0,I],2008-03-09,10.0,78.0,_I,127.0,I,194.0,I,130.0,I,238.0,I,299.0,I,249.0,_I,95.0,I,63.0,I,298.0,^I,177.0,_I,292.0,I,147.0,I
2008,4,9,690.0,I],2008-04-09,15.0,79.0,_I,134.0,I,214.0,I,143.0,I,232.0,I,294.0,I,250.0,_I,92.0,I,66.0,_I,297.0,I,178.0,"""I",281.0,I,160.0,"""I"
2008,5,9,706.0,I],2008-05-09,19.0,427.0,^<Х,645.0,<,444.0,П,228.0,I,282.0,I,327.0,(I,297.0,(I,446.0,Х,309.0,ЛХ,299.0,WI,199.0,I,288.0,Z,514.0,<
2008,6,9,2219.0,unknown,2008-06-09,24.0,70.0,unknown,128.0,unknown,281.0,unknown,246.0,unknown,691.0,unknown,1003.0,unknown,1443.0,unknown,119.0,unknown,88.0,unknown,672.0,unknown,251.0,unknown,463.0,unknown,178.0,unknown
2008,7,9,1201.0,unknown,2008-07-09,28.0,67.0,Т,97.0,unknown,209.0,unknown,207.0,unknown,380.0,unknown,649.0,unknown,1088.0,unknown,88.0,_,72.0,unknown,467.0,unknown,244.0,unknown,289.0,unknown,129.0,unknown
2008,8,9,1551.0,unknown,2008-08-09,32.0,68.0,А,98.0,unknown,201.0,unknown,213.0,unknown,541.0,unknown,929.0,unknown,1268.0,unknown,88.0,unknown,55.0,unknown,555.0,unknown,260.0,unknown,285.0,unknown,111.0,unknown
2008,9,9,950.0,unknown,2008-09-09,37.0,68.0,_А,109.0,unknown,208.0,unknown,220.0,unknown,345.0,unknown,636.0,unknown,392.0,unknown,105.0,unknown,79.0,unknown,393.0,unknown,246.0,unknown,241.0,unknown,116.0,unknown
2008,10,9,801.0,unknown,2008-10-09,41.0,70.0,_А,100.0,unknown,204.0,unknown,203.0,_,330.0,unknown,529.0,unknown,393.0,unknown,116.0,unknown,70.0,unknown,356.0,*),229.0,unknown,247.0,Ш,111.0,unknown
2008,11,9,958.0,]I,2008-11-09,45.0,72.0,_I,96.0,Z,211.0,Z,276.0,I,340.0,Z,351.0,I,249.0,I,94.0,I,70.0,I,438.0,Z,239.0,I,272.0,Ш,127.0,I
2008,12,9,872.0,]I,2008-12-09,50.0,72.0,_I,94.0,I,192.0,I,176.0,I,263.0,I,406.0,I,237.0,I,100.0,I,67.0,_I,425.0,I,236.0,^I,356.0,Z,122.0,_I
2008,1,10,925.0,]I,2008-01-10,2.0,78.0,^I,102.0,_I,192.0,I,117.0,_I,287.0,I,318.0,I,256.0,I,96.0,I,48.0,I,305.0,I,178.0,I,335.0,I,127.0,I
2008,2,10,770.0,I],2008-02-10,6.0,78.0,I,109.0,I,191.0,_I,119.0,I,257.0,I,307.0,I,250.0,I,90.0,I,58.0,I,294.0,I,177.0,"""I",300.0,I,134.0,_I
2008,3,10,701.0,I],2008-03-10,11.0,78.0,_I,127.0,I,194.0,I,130.0,I,241.0,^I,299.0,I,249.0,_I,95.0,I,63.0,I,298.0,^I,177.0,_I,291.0,I,147.0,I
2008,4,10,690.0,I],2008-04-10,15.0,79.0,_I,134.0,I,214.0,I,143.0,I,230.0,I,294.0,I,250.0,_I,92.0,I,66.0,_I,297.0,I,178.0,"""I",281.0,I,160.0,"""I"
2008,5,10,712.0,I],2008-05-10,19.0,421.0,<Х,654.0,^<Л,618.0,ЛР,325.0,(,305.0,I,363.0,(I,307.0,(I,461.0,Х,319.0,ЛХ,301.0,WI,202.0,П,299.0,Z,544.0,<Л
2008,6,10,2029.0,unknown,2008-06-10,24.0,70.0,unknown,128.0,unknown,274.0,unknown,239.0,unknown,641.0,unknown,948.0,unknown,1429.0,unknown,121.0,unknown,85.0,unknown,753.0,unknown,240.0,unknown,477.0,unknown,174.0,unknown
2008,7,10,1152.0,unknown,2008-07-10,28.0,67.0,Т,97.0,unknown,207.0,unknown,206.0,unknown,381.0,unknown,637.0,_,1010.0,unknown,95.0,unknown,71.0,unknown,464.0,unknown,244.0,unknown,292.0,^,131.0,^
