,year,month,day,heigh,rainy,date,week,heigh_9403,rainy_9403,heigh_9404,rainy_9404,heigh_9405,rainy_9405,heigh_9406,rainy_9406,heigh_9408,rainy_9408,heigh_9410,rainy_9410,heigh_9413,rainy_9413,heigh_9416,rainy_9416,heigh_9417,rainy_9417,heigh_9419,rainy_9419,heigh_9420,rainy_9420,heigh_9422,rainy_9422,heigh_9518,rainy_9518
16,2008,5,2,687.0,7,2008-05-02,18.0,101.0,17,142.0,1,226.0,24,150.0,9,246.0,5,298.0,11,259.0,10,136.0,4,82.0,13,299.0,17,180.0,20,275.0,25,160.0,25
17,2008,6,2,2368.0,8,2008-06-02,23.0,81.0,52,144.0,54,357.0,12,415.0,31,846.0,33,1575.0,33,1490.0,34,147.0,42,129.0,46,919.0,56,247.0,49,719.0,10,229.0,31
18,2008,7,2,1216.0,43,2008-07-02,27.0,68.0,34,101.0,20,211.0,31,232.0,31,441.0,33,828.0,33,1319.0,16,122.0,42,99.0,18,610.0,56,235.0,39,286.0,28,110.0,23
19,2008,8,2,999.0,32,2008-08-02,31.0,66.0,48,98.0,54,193.0,31,222.0,31,504.0,33,754.0,33,615.0,34,97.0,42,59.0,46,516.0,56,259.0,49,259.0,28,109.0,31
20,2008,9,2,1054.0,43,2008-09-02,36.0,68.0,48,100.0,41,223.0,31,240.0,31,365.0,33,710.0,33,570.0,34,137.0,42,85.0,46,455.0,28,261.0,25,249.0,28,123.0,31
21,2008,10,2,823.0,43,2008-10-02,40.0,70.0,48,105.0,20,214.0,31,237.0,31,324.0,33,550.0,33,456.0,34,101.0,42,70.0,46,376.0,56,235.0,25,251.0,28,119.0,31
22,2008,11,2,1151.0,16,2008-11-02,44.0,74.0,26,97.0,23,217.0,11,310.0,17,334.0,45,364.0,47,262.0,12,91.0,17,72.0,28,360.0,9,238.0,20,246.0,38,130.0,12
23,2008,12,2,879.0,12,2008-12-02,49.0,72.0,45,93.0,49,195.0,9,214.0,9,268.0,5,431.0,11,240.0,18,100.0,15,68.0,13,433.0,33,227.0,20,361.0,14,122.0,27
24,2008,1,3,955.0,12,2008-01-03,1.0,76.0,45,102.0,49,189.0,9,117.0,27,293.0,5,320.0,11,258.0,18,99.0,25,46.0,40,312.0,17,177.0,43,339.0,3,125.0,27
25,2008,2,3,790.0,7,2008-02-03,5.0,77.0,13,108.0,49,193.0,16,118.0,27,263.0,5,309.0,11,250.0,10,88.0,37,56.0,40,295.0,17,177.0,1,306.0,3,134.0,27
26,2008,3,3,708.0,7,2008-03-03,10.0,78.0,45,125.0,12,192.0,27,122.0,9,237.0,5,301.0,11,249.0,28,91.0,37,62.0,40,295.0,48,177.0,43,293.0,12,142.0,27
27,2008,4,3,693.0,7,2008-04-03,14.0,79.0,45,131.0,12,212.0,27,141.0,9,228.0,5,294.0,11,250.0,28,92.0,15,66.0,40,298.0,17,178.0,1,284.0,12,160.0,0
28,2008,5,3,689.0,7,2008-05-03,18.0,149.0,2,150.0,1,226.0,24,150.0,9,252.0,5,298.0,11,264.0,10,171.0,4,88.0,13,298.0,17,180.0,20,277.0,7,160.0,25
29,2008,6,3,2534.0,8,2008-06-03,23.0,81.0,52,141.0,54,349.0,31,376.0,31,829.0,33,1649.0,33,1666.0,34,137.0,42,116.0,46,971.0,28,251.0,49,715.0,10,225.0,31
30,2008,7,3,1341.0,43,2008-07-03,27.0,68.0,34,101.0,20,209.0,31,233.0,12,396.0,33,935.0,33,1317.0,34,110.0,42,96.0,46,599.0,28,235.0,39,282.0,28,110.0,23
31,2008,8,3,994.0,43,2008-08-03,31.0,66.0,48,98.0,54,193.0,31,225.0,31,523.0,33,869.0,33,612.0,34,93.0,42,61.0,46,633.0,56,259.0,49,263.0,28,109.0,31
32,2008,9,3,1022.0,43,2008-09-03,36.0,68.0,48,101.0,41,221.0,31,241.0,31,363.0,33,719.0,17,470.0,34,134.0,42,87.0,18,439.0,56,259.0,49,248.0,28,122.0,31
33,2008,10,3,834.0,43,2008-10-03,40.0,70.0,48,105.0,20,208.0,31,229.0,31,322.0,33,547.0,33,445.0,34,100.0,42,70.0,46,374.0,56,233.0,49,250.0,28,114.0,31
34,2008,11,3,1150.0,16,2008-11-03,45.0,74.0,26,97.0,23,213.0,11,289.0,9,340.0,8,334.0,47,260.0,12,91.0,17,72.0,28,401.0,9,238.0,20,249.0,38,145.0,19
35,2008,12,3,878.0,12,2008-12-03,49.0,72.0,45,93.0,49,195.0,9,210.0,9,267.0,5,429.0,11,240.0,18,100.0,15,68.0,13,432.0,17,230.0,20,361.0,14,122.0,27
36,2008,1,4,950.0,12,2008-01-04,1.0,76.0,45,102.0,49,189.0,9,117.0,27,292.0,5,320.0,11,258.0,18,99.0,25,46.0,40,309.0,17,178.0,20,337.0,3,125.0,27
37,2008,2,4,787.0,7,2008-02-04,6.0,77.0,13,108.0,49,192.0,9,118.0,27,262.0,5,309.0,11,250.0,10,88.0,37,57.0,13,295.0,17,177.0,1,304.0,3,134.0,27
38,2008,3,4,706.0,7,2008-03-04,10.0,78.0,45,125.0,12,192.0,27,123.0,9,240.0,5,300.0,11,249.0,28,91.0,37,62.0,40,295.0,48,177.0,43,293.0,12,144.0,10
39,2008,4,4,693.0,7,2008-04-04,14.0,79.0,45,132.0,12,212.0,27,141.0,9,230.0,5,294.0,11,250.0,28,92.0,15,66.0,40,298.0,17,178.0,1,284.0,12,160.0,0
40,2008,5,4,691.0,7,2008-05-04,18.0,169.0,1,165.0,1,227.0,24,152.0,9,256.0,5,298.0,11,269.0,10,202.0,52,102.0,4,296.0,48,182.0,20,278.0,7,172.0,3
41,2008,6,4,2640.0,8,2008-06-04,23.0,79.0,52,139.0,54,334.0,31,347.0,31,816.0,33,1667.0,17,1695.0,16,130.0,42,111.0,46,869.0,56,251.0,49,634.0,28,221.0,31
42,2008,7,4,1434.0,43,2008-07-04,27.0,68.0,34,101.0,20,212.0,31,226.0,31,378.0,33,949.0,17,1311.0,34,99.0,42,91.0,46,534.0,56,246.0,49,278.0,28,112.0,23
43,2008,8,4,1000.0,43,2008-08-04,32.0,66.0,48,98.0,54,193.0,31,225.0,31,532.0,33,1129.0,33,751.0,34,91.0,42,62.0,46,667.0,28,261.0,49,270.0,28,108.0,31
44,2008,9,4,1005.0,43,2008-09-04,36.0,68.0,48,101.0,54,219.0,31,243.0,31,359.0,33,715.0,33,400.0,34,128.0,42,87.0,18,429.0,56,258.0,49,247.0,28,121.0,31
45,2008,10,4,836.0,43,2008-10-04,40.0,70.0,48,103.0,54,203.0,31,226.0,31,320.0,33,544.0,33,437.0,34,99.0,42,69.0,46,371.0,56,233.0,49,252.0,28,112.0,31
46,2008,11,4,1137.0,6,2008-11-04,45.0,74.0,26,97.0,23,212.0,11,297.0,9,343.0,8,313.0,32,260.0,12,97.0,17,71.0,17,403.0,23,242.0,29,251.0,38,139.0,10
47,2008,12,4,877.0,12,2008-12-04,49.0,72.0,45,93.0,49,194.0,9,200.0,9,267.0,5,424.0,11,240.0,18,100.0,15,68.0,13,432.0,17,233.0,20,361.0,14,122.0,27
48,2008,1,5,944.0,12,2008-01-05,1.0,76.0,45,102.0,49,189.0,9,117.0,27,292.0,5,319.0,11,258.0,18,99.0,25,46.0,40,309.0,17,177.0,43,335.0,3,126.0,10
49,2008,2,5,785.0,7,2008-02-05,6.0,76.0,45,108.0,49,192.0,9,118.0,27,262.0,5,309.0,11,250.0,10,88.0,37,57.0,13,295.0,17,177.0,1,302.0,3,134.0,27
50,2008,3,5,705.0,7,2008-03-05,10.0,78.0,45,126.0,12,192.0,27,125.0,9,239.0,5,300.0,11,249.0,28,91.0,37,62.0,40,296.0,17,177.0,43,293.0,12,144.0,10
51,2008,4,5,692.0,7,2008-04-05,14.0,79.0,45,132.0,12,213.0,27,141.0,9,230.0,5,294.0,11,250.0,28,92.0,15,66.0,40,298.0,17,178.0,1,282.0,3,160.0,0
52,2008,5,5,694.0,7,2008-05-05,19.0,182.0,60,204.0,1,236.0,1,157.0,9,258.0,5,297.0,27,276.0,10,238.0,52,145.0,3,296.0,48,183.0,20,283.0,7,198.0,3
53,2008,6,5,2751.0,43,2008-06-05,23.0,74.0,52,131.0,54,321.0,31,323.0,31,776.0,33,1534.0,33,1670.0,34,127.0,42,107.0,46,880.0,56,252.0,25,589.0,28,214.0,31
54,2008,7,5,1485.0,14,2008-07-05,27.0,68.0,34,99.0,54,219.0,12,223.0,31,376.0,22,850.0,33,1296.0,34,95.0,42,87.0,46,516.0,56,246.0,49,275.0,28,117.0,31
55,2008,8,5,1064.0,43,2008-08-05,32.0,66.0,48,98.0,54,193.0,31,225.0,31,545.0,33,1202.0,17,1100.0,34,89.0,42,62.0,46,615.0,56,261.0,49,279.0,28,108.0,31
56,2008,9,5,995.0,43,2008-09-05,36.0,68.0,48,103.0,54,218.0,31,243.0,31,358.0,33,706.0,33,398.0,34,125.0,42,86.0,46,423.0,56,254.0,49,245.0,28,120.0,31
57,2008,10,5,827.0,43,2008-10-05,40.0,70.0,48,103.0,54,201.0,31,216.0,31,318.0,22,541.0,33,420.0,34,98.0,42,69.0,46,370.0,56,233.0,49,256.0,28,112.0,31
58,2008,11,5,1113.0,6,2008-11-05,45.0,74.0,26,97.0,23,211.0,11,293.0,9,340.0,8,337.0,11,258.0,12,96.0,17,70.0,17,406.0,23,242.0,29,251.0,38,131.0,10
59,2008,12,5,876.0,12,2008-12-05,49.0,72.0,45,93.0,49,193.0,9,192.0,9,266.0,5,420.0,11,238.0,10,100.0,15,67.0,40,432.0,17,236.0,29,361.0,14,122.0,27
60,2008,1,6,940.0,12,2008-01-06,1.0,78.0,26,102.0,49,189.0,9,117.0,27,291.0,5,319.0,11,257.0,10,99.0,25,46.0,40,309.0,17,177.0,43,335.0,3,126.0,10
61,2008,2,6,782.0,7,2008-02-06,6.0,76.0,45,108.0,49,192.0,9,118.0,27,261.0,5,308.0,11,250.0,10,88.0,37,57.0,13,296.0,33,177.0,1,300.0,3,134.0,27
62,2008,3,6,704.0,7,2008-03-06,10.0,78.0,45,126.0,12,192.0,27,126.0,9,238.0,5,300.0,11,249.0,28,92.0,15,62.0,40,297.0,17,177.0,43,293.0,12,146.0,10
63,2008,4,6,692.0,7,2008-04-06,14.0,79.0,45,132.0,12,214.0,9,141.0,9,230.0,5,294.0,11,250.0,28,92.0,15,66.0,40,298.0,17,178.0,1,281.0,3,160.0,0
64,2008,5,6,697.0,7,2008-05-06,19.0,217.0,62,259.0,64,268.0,1,161.0,9,262.0,5,299.0,11,281.0,10,285.0,52,194.0,53,296.0,48,184.0,20,276.0,7,225.0,3
65,2008,6,6,2780.0,14,2008-06-06,23.0,74.0,52,126.0,54,309.0,31,297.0,31,757.0,33,1425.0,33,1638.0,34,122.0,42,100.0,46,800.0,56,253.0,25,512.0,28,204.0,31
66,2008,7,6,1453.0,14,2008-07-06,27.0,68.0,34,99.0,54,218.0,31,215.0,31,396.0,33,797.0,33,1270.0,34,93.0,42,80.0,46,500.0,56,245.0,49,272.0,28,119.0,31
67,2008,8,6,1256.0,43,2008-08-06,32.0,67.0,48,98.0,54,193.0,31,224.0,31,561.0,33,1122.0,33,1328.0,16,88.0,42,60.0,46,565.0,56,262.0,49,282.0,28,107.0,31
68,2008,9,6,993.0,43,2008-09-06,36.0,68.0,48,105.0,54,216.0,31,244.0,31,357.0,33,689.0,33,395.0,34,123.0,42,85.0,46,410.0,56,250.0,49,244.0,28,119.0,31
69,2008,10,6,816.0,43,2008-10-06,41.0,70.0,48,103.0,54,201.0,31,209.0,31,320.0,22,539.0,33,400.0,34,103.0,42,68.0,46,367.0,56,232.0,49,259.0,10,112.0,31
70,2008,11,6,1080.0,6,2008-11-06,45.0,74.0,26,97.0,23,211.0,11,286.0,9,341.0,8,328.0,11,258.0,12,96.0,15,70.0,17,419.0,23,242.0,29,251.0,38,128.0,10
71,2008,12,6,875.0,12,2008-12-06,49.0,72.0,45,93.0,49,193.0,9,189.0,9,265.0,5,415.0,11,238.0,10,100.0,15,67.0,40,432.0,17,236.0,29,361.0,14,122.0,27
72,2008,1,7,935.0,12,2008-01-07,2.0,78.0,26,102.0,49,189.0,9,117.0,27,290.0,5,319.0,11,256.0,10,99.0,25,47.0,13,309.0,17,178.0,43,335.0,3,126.0,10
73,2008,2,7,778.0,7,2008-02-07,6.0,76.0,45,108.0,49,192.0,9,118.0,27,260.0,5,308.0,11,250.0,10,89.0,15,57.0,13,296.0,33,177.0,1,300.0,3,134.0,27
74,2008,3,7,704.0,7,2008-03-07,10.0,78.0,45,126.0,12,192.0,27,127.0,9,240.0,5,299.0,11,249.0,28,92.0,15,63.0,13,297.0,17,177.0,43,293.0,12,146.0,10
75,2008,4,7,691.0,7,2008-04-07,15.0,79.0,45,133.0,12,214.0,9,142.0,9,230.0,5,294.0,11,250.0,28,92.0,15,66.0,40,298.0,17,178.0,1,281.0,3,160.0,0
76,2008,5,7,700.0,7,2008-05-07,19.0,292.0,62,329.0,64,306.0,39,164.0,9,266.0,5,300.0,11,287.0,10,345.0,52,255.0,53,297.0,17,185.0,20,276.0,7,292.0,38
77,2008,6,7,2653.0,43,2008-06-07,23.0,73.0,52,126.0,54,298.0,31,278.0,31,738.0,33,1301.0,33,1544.0,34,119.0,42,95.0,46,695.0,56,253.0,25,457.0,28,190.0,31
78,2008,7,7,1363.0,43,2008-07-07,28.0,68.0,34,99.0,54,216.0,31,208.0,31,397.0,33,759.0,33,1232.0,34,89.0,42,77.0,46,484.0,56,244.0,49,274.0,28,124.0,31
79,2008,8,7,1521.0,43,2008-08-07,32.0,68.0,54,98.0,54,192.0,31,217.0,31,557.0,11,1027.0,33,1325.0,34,87.0,42,58.0,46,541.0,56,262.0,49,284.0,28,107.0,31
80,2008,9,7,997.0,43,2008-09-07,36.0,68.0,48,106.0,54,214.0,31,239.0,31,354.0,33,665.0,33,395.0,34,118.0,42,83.0,46,400.0,56,248.0,49,243.0,28,119.0,31
81,2008,10,7,808.0,43,2008-10-07,41.0,70.0,48,102.0,54,203.0,31,205.0,31,328.0,33,536.0,33,399.0,34,107.0,42,68.0,46,365.0,56,232.0,49,259.0,10,112.0,31
82,2008,11,7,1039.0,6,2008-11-07,45.0,72.0,45,97.0,40,211.0,11,280.0,9,340.0,8,322.0,11,255.0,10,95.0,15,70.0,13,440.0,23,241.0,29,256.0,2,128.0,10
83,2008,12,7,874.0,12,2008-12-07,49.0,72.0,45,94.0,49,192.0,9,186.0,9,264.0,5,413.0,11,237.0,10,100.0,15,67.0,40,429.0,17,236.0,29,360.0,7,122.0,27
84,2008,1,8,930.0,12,2008-01-08,2.0,78.0,26,102.0,49,189.0,9,117.0,27,289.0,5,319.0,11,256.0,10,98.0,15,47.0,13,308.0,17,179.0,29,335.0,3,127.0,10
85,2008,2,8,775.0,7,2008-02-08,6.0,77.0,45,109.0,49,192.0,9,119.0,9,259.0,5,308.0,11,250.0,10,89.0,15,57.0,13,295.0,17,177.0,0,300.0,3,134.0,27
86,2008,3,8,703.0,7,2008-03-08,10.0,78.0,45,127.0,12,192.0,27,129.0,9,239.0,5,299.0,11,249.0,28,94.0,15,63.0,13,297.0,17,177.0,43,293.0,12,147.0,10
87,2008,4,8,691.0,7,2008-04-08,15.0,79.0,45,133.0,12,214.0,9,142.0,9,232.0,5,294.0,11,250.0,28,92.0,37,66.0,40,297.0,17,178.0,1,281.0,3,160.0,0
88,2008,5,8,703.0,7,2008-05-08,19.0,423.0,9,447.0,59,365.0,38,175.0,9,272.0,5,308.0,11,291.0,2,417.0,55,412.0,22,298.0,17,189.0,23,279.0,7,405.0,7
89,2008,6,8,2437.0,43,2008-06-08,23.0,70.0,52,126.0,54,290.0,31,259.0,31,725.0,33,1119.0,33,1471.0,34,119.0,42,92.0,46,679.0,56,253.0,25,445.0,28,183.0,31
90,2008,7,8,1275.0,43,2008-07-08,28.0,67.0,63,97.0,54,212.0,31,208.0,31,398.0,33,704.0,33,1164.0,34,85.0,33,74.0,46,471.0,56,244.0,49,280.0,28,127.0,31
91,2008,8,8,1604.0,14,2008-08-08,32.0,68.0,54,98.0,54,197.0,31,215.0,31,531.0,33,943.0,33,1280.0,34,87.0,42,56.0,46,554.0,56,261.0,49,284.0,28,108.0,31
92,2008,9,8,982.0,43,2008-09-08,37.0,68.0,48,108.0,54,210.0,31,228.0,31,350.0,33,651.0,33,394.0,34,109.0,42,81.0,46,396.0,56,248.0,49,242.0,28,116.0,31
93,2008,10,8,807.0,43,2008-10-08,41.0,70.0,48,101.0,54,204.0,31,203.0,24,331.0,33,532.0,33,396.0,34,110.0,42,68.0,46,361.0,56,232.0,49,256.0,2,112.0,31
94,2008,11,8,990.0,12,2008-11-08,45.0,72.0,45,97.0,32,211.0,11,278.0,9,344.0,14,336.0,11,249.0,10,95.0,15,70.0,13,438.0,23,240.0,20,264.0,38,128.0,10
95,2008,12,8,873.0,12,2008-12-08,50.0,72.0,45,94.0,12,192.0,9,180.0,9,263.0,5,411.0,11,237.0,10,100.0,15,67.0,40,427.0,17,236.0,29,358.0,7,122.0,27
96,2008,1,9,927.0,12,2008-01-09,2.0,78.0,26,102.0,49,191.0,9,117.0,27,288.0,5,318.0,11,256.0,10,97.0,15,47.0,13,306.0,17,179.0,29,335.0,3,127.0,10
97,2008,2,9,773.0,7,2008-02-09,6.0,78.0,13,109.0,12,192.0,27,119.0,9,258.0,5,307.0,11,250.0,10,90.0,15,58.0,13,295.0,17,177.0,1,300.0,3,134.0,27
98,2008,3,9,702.0,7,2008-03-09,10.0,78.0,45,127.0,12,194.0,9,130.0,9,238.0,5,299.0,11,249.0,28,95.0,15,63.0,13,298.0,33,177.0,43,292.0,3,147.0,10
99,2008,4,9,690.0,7,2008-04-09,15.0,79.0,45,134.0,12,214.0,9,143.0,9,232.0,5,294.0,11,250.0,28,92.0,15,66.0,40,297.0,17,178.0,1,281.0,3,160.0,0
100,2008,5,9,706.0,7,2008-05-09,19.0,427.0,24,645.0,4,444.0,38,228.0,9,282.0,5,327.0,1,297.0,2,446.0,54,309.0,50,299.0,21,199.0,20,288.0,7,514.0,7
101,2008,6,9,2219.0,43,2008-06-09,24.0,70.0,52,128.0,54,281.0,31,246.0,31,691.0,33,1003.0,33,1443.0,34,119.0,42,88.0,46,672.0,56,251.0,49,463.0,28,178.0,31
102,2008,7,9,1201.0,43,2008-07-09,28.0,67.0,63,97.0,54,209.0,31,207.0,31,380.0,33,649.0,33,1088.0,34,88.0,33,72.0,46,467.0,56,244.0,49,289.0,28,129.0,31
103,2008,8,9,1551.0,43,2008-08-09,32.0,68.0,54,98.0,54,201.0,31,213.0,31,541.0,33,929.0,33,1268.0,34,88.0,42,55.0,46,555.0,56,260.0,49,285.0,28,111.0,31
104,2008,9,9,950.0,43,2008-09-09,37.0,68.0,48,109.0,54,208.0,31,220.0,31,345.0,33,636.0,33,392.0,34,105.0,42,79.0,46,393.0,56,246.0,49,241.0,28,116.0,31
105,2008,10,9,801.0,43,2008-10-09,41.0,70.0,48,100.0,54,204.0,31,203.0,24,330.0,33,529.0,33,393.0,34,116.0,42,70.0,46,356.0,9,229.0,49,247.0,38,111.0,31
106,2008,11,9,958.0,12,2008-11-09,45.0,72.0,45,96.0,18,211.0,11,276.0,9,340.0,8,351.0,11,249.0,10,94.0,15,70.0,13,438.0,23,239.0,20,272.0,38,127.0,10
107,2008,12,9,872.0,12,2008-12-09,50.0,72.0,45,94.0,12,192.0,9,176.0,9,263.0,5,406.0,11,237.0,10,100.0,15,67.0,40,425.0,17,236.0,29,356.0,7,122.0,27
108,2008,1,10,925.0,12,2008-01-10,2.0,78.0,26,102.0,49,192.0,9,117.0,27,287.0,5,318.0,11,256.0,10,96.0,15,48.0,13,305.0,17,178.0,20,335.0,3,127.0,10
109,2008,2,10,770.0,7,2008-02-10,6.0,78.0,13,109.0,12,191.0,27,119.0,9,257.0,5,307.0,11,250.0,10,90.0,15,58.0,13,294.0,17,177.0,1,300.0,3,134.0,27
110,2008,3,10,701.0,7,2008-03-10,11.0,78.0,45,127.0,12,194.0,9,130.0,9,241.0,13,299.0,11,249.0,28,95.0,15,63.0,13,298.0,33,177.0,43,291.0,3,147.0,10
111,2008,4,10,690.0,7,2008-04-10,15.0,79.0,45,134.0,12,214.0,9,143.0,9,230.0,5,294.0,11,250.0,28,92.0,15,66.0,40,297.0,17,178.0,1,281.0,3,160.0,0
112,2008,5,10,712.0,7,2008-05-10,19.0,421.0,11,654.0,25,618.0,36,325.0,1,305.0,5,363.0,1,307.0,2,461.0,54,319.0,50,301.0,21,202.0,54,299.0,7,544.0,8
113,2008,6,10,2029.0,43,2008-06-10,24.0,70.0,52,128.0,54,274.0,31,239.0,31,641.0,33,948.0,33,1429.0,34,121.0,42,85.0,46,753.0,56,240.0,49,477.0,28,174.0,31
114,2008,7,10,1152.0,43,2008-07-10,28.0,67.0,63,97.0,54,207.0,31,206.0,31,381.0,33,637.0,25,1010.0,34,95.0,42,71.0,46,464.0,56,244.0,49,292.0,10,131.0,13
115,2008,8,10,1479.0,43,2008-08-10,32.0,68.0,54,97.0,54,206.0,31,218.0,31,543.0,33,886.0,33,1300.0,34,87.0,42,54.0,46,526.0,56,260.0,49,287.0,10,114.0,31
116,2008,9,10,925.0,43,2008-09-10,37.0,68.0,48,109.0,54,206.0,31,215.0,31,339.0,33,623.0,33,390.0,34,103.0,42,77.0,46,392.0,56,245.0,49,239.0,28,115.0,31
117,2008,10,10,798.0,43,2008-10-10,41.0,70.0,48,100.0,54,204.0,31,204.0,24,329.0,33,517.0,33,392.0,34,120.0,18,71.0,46,346.0,73,229.0,5,240.0,38,111.0,31
118,2008,11,10,948.0,12,2008-11-10,46.0,72.0,45,96.0,18,211.0,11,274.0,9,339.0,8,361.0,11,247.0,10,94.0,15,71.0,13,441.0,23,238.0,20,275.0,38,127.0,10
119,2008,12,10,870.0,12,2008-12-10,50.0,72.0,45,95.0,12,191.0,9,173.0,9,262.0,5,399.0,11,235.0,10,100.0,15,67.0,40,422.0,17,236.0,29,354.0,7,122.0,27
120,2008,1,11,924.0,12,2008-01-11,2.0,78.0,26,103.0,49,192.0,9,117.0,27,286.0,5,318.0,11,255.0,10,95.0,15,48.0,13,305.0,17,178.0,20,333.0,3,127.0,10
121,2008,2,11,766.0,7,2008-02-11,7.0,78.0,13,111.0,12,191.0,27,119.0,9,256.0,5,307.0,11,250.0,10,90.0,15,58.0,13,294.0,17,177.0,1,300.0,3,134.0,27
122,2008,3,11,700.0,7,2008-03-11,11.0,78.0,45,127.0,12,194.0,9,130.0,9,240.0,5,298.0,11,249.0,28,95.0,15,63.0,13,298.0,33,177.0,43,290.0,3,148.0,10
123,2008,4,11,690.0,7,2008-04-11,15.0,80.0,45,134.0,12,214.0,9,143.0,9,230.0,5,294.0,11,250.0,28,93.0,15,66.0,40,297.0,17,178.0,1,281.0,3,160.0,0
124,2008,5,11,728.0,7,2008-05-11,19.0,414.0,11,487.0,16,669.0,37,491.0,37,327.0,0,445.0,1,312.0,2,462.0,54,345.0,50,368.0,2,209.0,51,315.0,7,547.0,35
125,2008,6,11,1862.0,43,2008-06-11,24.0,69.0,52,126.0,54,264.0,31,231.0,31,576.0,33,968.0,33,1410.0,34,122.0,42,84.0,46,747.0,56,234.0,49,442.0,28,170.0,31
126,2008,7,11,1122.0,43,2008-07-11,28.0,67.0,63,97.0,54,206.0,31,201.0,31,380.0,33,692.0,33,965.0,34,99.0,42,69.0,46,471.0,56,254.0,49,288.0,28,131.0,13
127,2008,8,11,1399.0,43,2008-08-11,33.0,68.0,54,97.0,54,216.0,31,225.0,31,550.0,33,861.0,33,1296.0,34,87.0,42,51.0,46,502.0,56,259.0,49,287.0,10,115.0,31
128,2008,9,11,907.0,43,2008-09-11,37.0,68.0,48,109.0,54,206.0,31,210.0,31,334.0,33,619.0,33,340.0,34,98.0,42,75.0,46,392.0,56,244.0,49,239.0,28,114.0,31
